1,0262,The Notebook,Nicholas Sparks
1,0263,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg
1,0264,Atlas Shrugged,Ayn Rand
1,0265,The Fountainhead,Ayn Rand
0,0266,Number the Stars,Lois Lowry
1,0267,The Firm,John Grisham
1,0268,Swann's Way,Marcel Proust
0,0269,Ender's Game,Orson Scott Card
1,0270,The Name of the Rose,Umberto Eco
1,0271,A Time to Kill,John Grisham
1,0272,Water for Elephants,Sara Gruen
1,0273,The Time Machine,H.G. Wells
0,0274,Eragon,Christopher Paolini
0,0275,The Hitchhiker's Guide to the Galaxy,Douglas Adams
0,0276,Buddenbrooks,Thomas Mann
1,0277,A Thousand Splendid Suns,Khaled Hosseini
1,0278,The Witch of Blackbird Pond,Elizabeth George Speare
1,0279,And Then There Were None,Agatha Christie
1,0280,A Separate Peace,John Knowles
1,0281,Breaking Dawn,Stephenie Meyer
1,0282,As I Lay Dying,William Faulkner
1,0283,The Girl Who Played With Fire,Stieg Larsson
1,0284,Where the Red Fern Grows,Wilson Rawls
1,0285,Le Morte D'Arthur,Thomas Malory
0,0286,Mockingjay,Suzanne Collins
1,0287,The Pillars of the Earth,Ken Follett
1,0288,Persian Letters,Montesquieu
0,0289,The Client,John Grisham
1,0290,Sula,Toni Morrison
1,0291,Tales of a Fourth Grade Nothing,Judy Blume
1,0292,The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle
1,0293,Tortilla Flat,John Steinbeck
0,0294,"Look Homeward, Angel",Thomas Wolfe
0,0295,The Mystery of Edwin Drood,Charles Dickens
0,0296,Brideshead Revisited,Evelyn Waugh
1,0297,The Pelican Brief,John Grisham
1,0298,Atonement,Ian McEwan
1,0299,Washington Square,Henry James
1,0300,Like Water for Chocolate,Laura Esquivel
1,0301,The Golden Compass,Philip Pullman
1,0302,The Secret Life of Bees,Sue Monk Kidd
1,0303,The Fault In Our Stars,John Green
1,0304,Nostromo,Joseph Conrad
1,0305,Finnegans Wake,James Joyce
0,0306,The Brethren,John Grisham
1,0307,Coraline,Neil Gaiman
1,0308,Heart of Darkness,Joseph Conrad
0,0309,On the Banks of Plum Creek,Laura Ingalls Wilder
1,0310,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin
1,0311,The Ambassadors,Henry James
1,0312,The Secret Agent,Joseph Conrad
1,0313,The House on Mango Street,Sandra Cisneros
0,0314,Go Tell It on the Mountain,James Baldwin
0,0315,The Testament,John Grisham
0,0316,The Clan of the Cave Bear,Jean M. Auel
1,0317,Cranford,Elizabeth Cleghorn Gaskell
1,0318,Because of Winn-Dixie,Kate DiCamillo
1,0319,My Side of the Mountain,Jean Craighead George
1,0320,The Runaway Jury,John Grisham
1,0321,The Mouse and the Motorcycle,Beverly Cleary
1,0322,The Lost Symbol,Dan Brown
1,0323,The Forsyte Saga,John Galsworthy
1,0324,Gone Girl,Gillian Flynn
1,0325,The Lightning Thief,Rick Riordan
0,0326,The Last Days of Pompeii,Edward Bulwer Lytton
1,0327,The Reader,Bernhard Schlink
1,0328,Caddie Woodlawn,Carol Ryrie Brink
0,0329,The Tale of Despereaux,Kate DiCamillo
1,0330,The Girl Who Kicked the Hornet's Nest,Stieg Larsson
1,0331,Dear Mr. Henshaw,Beverly Cleary
1,0332,The Killer Angels,Michael Shaara
1,0333,Chronicle of a Death Foretold,Gabriel García Márquez
0,0334,The Five People You Meet In Heaven,Mitch Albom
0,0335,The Master and Margarita,Mikhail Bulgakov
0,0336,"Winesburg, Ohio",Sherwood Anderson
1,0337,"""P"" Is for Peril",Sue Grafton
1,0338,My Sister's Keeper,Jodi Picoult
1,0339,Barnaby Rudge,Charles Dickens
1,0340,Howards End,E.M. Forster
1,0341,The Broker,John Grisham
1,0342,The Camel Club,David Baldacci
1,0343,The Rainbow,D.H. Lawrence
1,0344,The Man In the Iron Mask,Alexandre Dumas
1,0345,Mary Poppins,P.L. Travers
0,0346,Artemis Fowl,Eoin Colfer
1,0347,Dear John,Nicholas Sparks
1,0348,Cold Mountain,Charles Frazier
0,0349,Flowers for Algernon,Daniel Keyes
1,0350,The Dark Is Rising,Susan Cooper
1,0351,Resurrection,Leo Tolstoy
1,0352,Fearless Fourteen,Janet Evanovich
1,0353,A Sentimental Journey Through France and Italy,Laurence Sterne
0,0354,The King of Torts,John Grisham
0,0355,The Graveyard Book,Neil Gaiman
0,0356,The Quiet American,Graham Greene
1,0357,The Chamber,John Grisham
1,0358,The English Patient,Michael Ondaatje
1,0359,Snow Falling on Cedars,David Guterson
1,0360,The Long Winter,Laura Ingalls Wilder
1,0361,"Sarah, Plain and Tall",Patricia MacLachlan
1,0362,Cross Country,James Patterson
1,0363,The Spy Who Came In from the Cold,John Le Carré
1,0364,A Game of Thrones,George R.R. Martin
1,0365,The Thorn Birds,Colleen McCullough
0,0366,Old Yeller,Fred Gipson
1,0367,"Ramona Quimby, Age 8",Beverly Cleary
1,0368,Death In Venice,Thomas Mann
0,0369,By the Shores of Silver Lake,Laura Ingalls Wilder
1,0370,Inferno,Dan Brown
1,0371,Schindler's List,Thomas Keneally
1,0372,Jonathan Livingston Seagull,Richard Bach
1,0373,The Stand,Stephen King
0,0374,The Last Juror,John Grisham
0,0375,Shiloh,Phyllis Reynolds Naylor
0,0376,Girl With a Pearl Earring,Tracy Chevalier
1,0377,The Murder of Roger Ackroyd,Agatha Christie
1,0378,It,Stephen King
1,0379,The Rainmaker,John Grisham
1,0380,The Poisonwood Bible,Barbara Kingsolver
1,0381,The Indian in the Cupboard,Lynne Reid Banks
1,0382,The Maltese Falcon,Dashiell Hammett
1,0383,The Warden,Anthony Trollope
1,0384,The Summons,John Grisham
1,0385,Encyclopedia Brown: Boy Detective,Donald J. Sobol
0,0386,The Time Traveler's Wife,Audrey Niffenegger
1,0387,The Incredible Journey,Sheila Burnford
1,0388,Daughter of Fortune,Isabel Allende
0,0389,Shirley,Charlotte Brontë
1,0390,"Bud, Not Buddy",Christopher Paul Curtis
1,0391,The Horse Whisperer,Nicholas Evans
1,0392,The Street Lawyer,John Grisham
1,0393,Nausea,Jean-Paul Sartre
0,0394,To Have and Have Not,Ernest Hemingway
0,0395,The Bridges of Madison County,Robert James Waller
0,0396,Anne of the Island,L.M. Montgomery
1,0397,The Winter of Our Discontent,John Steinbeck
1,0398,The Shining,Stephen King
1,0399,The Tenant of Wildfell Hall,Anne Brontë
1,0400,First Family,David Baldacci
1,0401,The Partner,John Grisham
1,0402,The Girl on the Train,Paula Hawkins
1,0403,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson
1,0404,The Rise of Silas Lapham,William Dea Howells
1,0405,The Choice,Nicholas Sparks
0,0406,The Virginian: A Horseman of the Plains,Owen Wister
1,0407,A Walk to Remember,Nicholas Sparks
1,0408,The Maze Runner,James Dashner
0,0409,The Westing Game,Ellen Raskin
1,0410,Misty of Chincoteague,Marguerite Henry
1,0411,Diary of a Wimpy Kid: The Last Straw,Jeff Kinney
1,0412,King Solomon's Mines,H. Rider Haggard
1,0413,The Princess of Cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett
0,0414,Jacob Have I Loved,Katherine Paterson
0,0415,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien
0,0416,Misery,Stephen King
1,0417,The Cider House Rules,John Irving
1,0418,King of the Wind,Marguerite Henry
1,0419,The Once and Future King,T. H. White
1,0420,The Witches,Roald Dahl
1,0421,The Subtle Knife,Philip Pullman
1,0422,When You Reach Me,Rebecca Stead
1,0423,Carrie,Stephen King
1,0424,The Moon and Sixpence,W. Somerset Maugham
1,0425,The Higher Power of Lucky,Susan Patron
0,0426,"Looking Backward, 2000-1887",Edward Bellamy
1,0427,The Wings of the Dove,Henry James
1,0428,The Summer of the Swans,Betsy Cromer Byars
0,0429,Dangerous Liaisons,Choderlos de Laclos
1,0430,Jurassic Park,Michael Crichton
1,0431,The Absolutely True Diary of a Part-time Indian,Sherman Alexie
1,0432,The Grey King,Susan Cooper
1,0433,The Leopard,Giuseppe Tomasi di Lampedusa
0,0434,The Mammoth Hunters,Jean M. Auel
0,0435,The Trumpet of the Swan,E.B. White
0,0436,The Lucky One,Nicholas Sparks
1,0437,These Happy Golden Years,Laura Ingalls Wilder
1,0438,Arrowsmith,Sinclair Lewis
1,0439,Julie of the Wolves,Jean Craighead George
1,0440,The Screwtape Letters,C.S. Lewis
1,0441,The Fall,Albert Camus
1,0442,The No. 1 Ladies' Detective Agency,Alexander McCall Smith
1,0443,Worst Case,James Patterson
1,0444,Lost Horizon,James Hilton
1,0445,The Gunslinger,Stephen King
0,0446,The Slave Dancer,Paula Fox
1,0447,Harry Potter and the Half-Blood Prince,J.K. Rowling
1,0448,Inkheart,Cornelia Funke
0,0449,Ramona and her Father,Beverly Cleary
1,0450,Inkspell,Cornelia Funke
1,0451,Ramona the Pest,Beverly Cleary
1,0452,Walk Two Moons,Sharon Creech
1,0453,Miss Peregrine's Home for Peculiar Children,Ransom Riggs
0,0454,The Chocolate War,Robert Cormier
0,0455,Sophie's Choice,William Styron
0,0456,Looking for Alaska,John Green
1,0457,Breakfast at Tiffany's,Truman Capote
1,0458,The Razor's Edge,W. Somerset Maugham
1,0459,Dreamcatcher,Stephen King
1,0460,Orlando,Virginia Woolf
1,0461,The Things they Carried,Tim O'Brien
1,0462,Little Town on the Prairie,Laura Ingalls Wilder
1,0463,Nights in Rodanthe,Nicholas Sparks
1,0464,The Amber Spyglass,Philip Pullman
1,0465,The Miraculous Journey of Edward Tulane,Kate DiCamillo
0,0466,Flatland,Edwin A. Abbott
1,0467,Diary of a Wimpy Kid,Jeff Kinney
1,0468,The Memory Keeper's Daughter,Kim Edwards
0,0469,The Wedding,Nicholas Sparks
1,0470,Fried Green Tomatoes at the Whistle-Stop Cafe,Fannie Flagg
1,0471,The Cricket in Times Square,George Selden
1,0472,The Phantom Tollbooth,Norton Juster
1,0473,Rob Roy,Walter Scott
0,0474,The Death of Ivan Ilych,Leo Tolstoy
0,0475,Alex Cross's Trial,James Patterson
0,0476,Kenilworth,Walter Scott
1,0477,The Life and Opinions of Tristram Shandy,Laurence Sterne
1,0478,The Remains of theDay,Kazuo Ishiguro
1,0479,"M.C. Higgins, The Great",Virginia Hamilton
1,0480,Call It Courage,Armstrong Sperry
1,0481,Go Set a Watchman,Harper Lee
0,0482,Bleachers,John Grisham
1,0483,Elijah of Buxton,Christopher Paul Curtis
0,0484,Swimsuit,James Patterson
1,0485,Cat's Cradle,Kurt Vonnegut
1,0486,The Caine Mutiny,Herman Wouk
0,0487,The Heart of the Matter,Graham Greene
0,0488,"Harriet, the Spy",Louise Fitzhugh
1,0489,Darkness at Noon,Arthur Koestler
1,0490,A Prayer for Owen Meany,John Irving
1,0491,The God of Small Things,Arundhati Roy
1,0492,The Associate,John Grisham
1,0493,The Shack,William P. Young
1,0494,The Naked and the Dead,Norman Mailer
1,0495,The Sea of Monsters,Rick Riordan
1,0496,Stranger in a Strange Land,Robert A. Heinlein
1,0497,Vision in White,Nora Roberts
0,0498,The Whipping Boy,Sid Fleischman
1,0499,Room,Emma Donoghue
1,0500,Deception Point,Dan Brown
